listing_id,address,mls_drone_or_aerial_status,best_photo_indices,marketing_candidate_strength,has_backyard_photos,hot_tub_or_pool_visible,reuse_rights,notes,reason
10667320,1018 SWANSEA Road,yes,"1,4,5,7,8,9,10,11",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: multiple aerial/top-down/oblique views show house with driveway, patio, surrounding yard/lot and site context. Strong match for house plus backyard/lot together.",
20066310,1170 Mcdonald Avenue,yes,"6,5,3,4",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 6 appears to be a close top-down/overhead lot view showing house and yard layout; photo 5 gives broader aerial neighborhood context. Photos 3-4 add ground/elevated exterior lot context.,
20027125,1282 23RD S Street,yes,1,high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 1 is an elevated oblique aerial showing the house with surrounding yard/lot context; strong candidate for the stated goal.,
20021647,13-640 UPPER LAKEVIEW Road,yes,"6,3",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photos 6 and 3 are elevated/drone-like and show the house with surrounding lot context; backyard/lot coverage is decent but not fully top-down.,
20060624,1302 11th Avenue,yes,"30,29,24",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 30 is top-down lot/house view with outline; photo 29 is elevated oblique showing house and fenced yard. Photo 24 is useful rear-yard ground support.,
20049552,1325 12 Avenue,yes,"11,12,19,20",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: no true drone/top-down visible, but elevated/yard-view photos show house portions, backyard/lot, and surrounding setting together.",
10682383,14 MT TRINITY Avenue,yes,"2,1,30",medium,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 2 is the strongest elevated/oblique view showing roof/house and surrounding yard/lot context; photo 1 also shows front/lot context. Photo 30 shows backyard ground-level detail but not aerial.,
10647009,1502 PINERIDGE MOUNTAIN Place,yes,"3,4,9,10,12,13",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: good elevated/ground exterior views of rear facade, lawn, and surrounding treed lot; no true top-down aerial.",
10671641,16 MT MINTON Street,yes,"1,8,4,2,3",high,yes,not_reviewed_for_this_goal,unknown_research_only,Goal review: photo 1 is the clearest elevated/aerial-style view showing houses and surrounding lots; likely useful for house-plus-yard context. Photo 8 gives elevated deck/backyard perspective; photo 4 adds yard coverage.,
10669905,1609 8TH S Avenue,yes,"8,7,5",medium,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: photo 8 is an elevated/aerial oblique showing house, yard/lot, and neighboring context. Other exterior shots are ground-level.",
10684522,1611 1ST S Avenue,yes,"1,2,21,3",high,yes,unclear,unknown_research_only,"Clear elevated/drone-style exterior images show the house with surrounding lot and landscape context; photos 21 and 1 are strongest house-plus-lot aerial/elevated candidates, with photo 3 providing broader area context.",
20062684,1629 Staple Crescent,yes,"5,2,3,1,4,6",high,yes,not_reviewed_for_this_goal,unknown_research_only,"Goal review: multiple strong aerial/oblique views showing house, yard, lot edges, and neighborhood context; photo 5 appears most top-down.",
10675733,1732 20TH S Avenue,yes,"1,2,3,4,5,6,7,9",high,yes,no,unknown_research_only,"Good outdoor set with lawn, deck, exterior, RV/yard context, and clear aerial/drone parcel views.",
